subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Bellamy Branch-Waccamaw River,030402060704,Buck Creek-Waccamaw River,0304020607,Waccamaw,03040206,Lumber,030402,030402060706,1.951871591768666,1249.197818569887431,,62,65,20169.194828058556595,7366893.403384943492711,5055172.742389631457627,0.0000000
Middle Swamp,030402080101,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080102,28.050917019690292,17952.586890272788878,,2828,3700,54666.824154413203360,106027797.591127544641495,72651537.439924925565720,11.1203337
Headwaters Lockwoods Folly River,030402080102,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080104,18.837011318769115,12055.687242448244433,,737,880,48095.541267290325777,71297186.784922167658806,48787637.752345547080040,46.5311317
Royal Oak Swamp,030402080103,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080104,31.528926094531471,20178.512697882375505,,1036,1092,52102.211540456861258,119255892.781626850366592,81659544.458493784070015,18.7723484
Scotts Branch-Lockwoods Folly River,030402080104,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080106,17.533219095979852,11221.260219971367405,,1410,1792,40852.082541259725986,66268855.505018204450607,45410828.778767675161362,0.1728650
Mill Creek,030402080105,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080106,12.521889338553770,8014.009175634751045,,1531,1299,34396.359496663972095,47272270.657842770218849,32431544.350952487438917,0.0000000
Pamlico Creek-Lockwoods Folly River,030402080106,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080107,26.139994061407432,16729.596197130420478,,4799,6420,54844.188339059641294,98687968.414684236049652,67702273.974814087152481,0.8454868
Town of Long Beach-Montgomery Slough,030402080107,Lockwoods Folly River,0304020801,Coastal Carolina,03040208,Lumber,030402,030402080108,11.891279166317368,7610.418665455812516,,4637,4995,52070.921337928244611,44848080.568872094154358,30798271.742113914340734,2.7277565
Town of Long Beach-Long Beach,030402080108,Long Bay,0304020801,Long Bay,03040208,Yadkin Pee Dee - Atlantic,030402,030402080109,13.499409276580646,8639.621935890791065,,200,591,48050.922439619644138,50884396.648715078830719,34963252.057817563414574,0.0000000
Long Bay-Atlantic Ocean,030402080109,Long Bay,0304020801,Long Bay,03040208,Yadkin Pee Dee - Atlantic,030402,OCEAN,19.698135354709116,12606.806625378347235,,0,0,45935.934690688751289,74207594.802320167422295,51017874.764934271574020,0.0000000
Upper Shallotte River,030402080201,Shallotte River,0304020802,Coastal Carolina,03040208,Lumber,030402,030402080202,14.275665635041516,9136.426005241297389,,1523,1873,35909.996913109760499,53869005.678879916667938,36973804.309234499931335,0.0000000
Middle Shallotte River,030402080202,Shallotte River,0304020802,Coastal Carolina,03040208,Lumber,030402,030402080204,19.209577219223913,12294.129418708380399,,2300,1990,48314.929872118547792,72531939.449792653322220,49752576.046353377401829,0.0000000
Shallotte Creek,030402080203,Shallotte River,0304020802,Coastal Carolina,03040208,Lumber,030402,030402080204,12.311385857484767,7879.286947768067876,,3667,4036,33350.863545030508249,46453485.647152446210384,31886343.076505213975906,0.0000000
Lower Shallotte River,030402080204,Shallotte River,0304020802,Coastal Carolina,03040208,Lumber,030402,030402080205,38.321008669173033,24525.445545089045481,,11021,12502,87451.828496576039470,144569648.632547497749329,99250956.689528971910477,0.4224829
Holden Beach-Shallotte Inlet,030402080205,Middle Shallotte River,0304020802,Long Bay,03040208,Yadkin Pee Dee,030402,030402080206,11.439769944069845,7321.452763254885213,,70,160,45623.988537442288361,43112632.114372871816158,29628849.217649135738611,0.0003529
Shallotte Inlet-Atlantic Ocean,030402080206,Middle Shallotte River,0304020802,Long Bay,03040208,Yadkin Pee Dee - Atlantic,030402,OCEAN,20.697938358301847,13246.680547594683958,,0,0,47374.365299804150709,77956058.153519868850708,53607182.019185774028301,0.0000000
Calabash Creek,030402080302,Little River,0304020803,Coastal Carolina,03040208,Lumber,030402,030402080303,9.947330780138204,6366.291698462548993,,3191,4207,36494.823874805988453,37491656.439310096204281,25763467.260481514036655,0.0000000
Little River Inlet-Atlantic Intracoastal Waterway,030402080303,Little River,0304020803,Coastal Carolina,03040208,Lumber,030402,030402080309,10.527583459957478,6737.653413498707778,,2996,3814,42587.215098998603935,39660582.779658466577530,27266261.332246910780668,22.8310795
Little River Inlet-Atlantic Ocean,030402080309,Little River,0304020803,Long Bay,03040208,Yadkin Pee Dee - Atlantic,030402,OCEAN,8.773926065672148,5615.312681301697921,,24,46,34482.992722000235517,33038654.759591311216354,22724160.526059906929731,1.0564992
Long Bay-Atlantic Ocean,030402080315,Little River,0304020803,Long Bay,03040208,Yadkin Pee Dee - Atlantic,030402,OCEAN,11.740961799083783,7514.215550438798346,,0,0,29075.858382201575296,44194104.111985564231873,30409076.092750269919634,0.0000000
Curtis Creek,030501010101,Headwaters Catawba River,0305010101,Upper Catawba,03050101,Catawba,030501,030501010102,17.066533283287619,10922.581299887084242,,958,893,42958.650123702049314,67151970.105453357100487,44202118.363721445202827,0.0000000
Headwaters Catawba River,030501010102,Headwaters Catawba River,0305010101,Upper Catawba,03050101,Catawba,030501,030501010105,37.429409320182046,23954.821961808840570,,2512,2443,63674.503912747779395,147083833.624688863754272,96941725.096717506647110,5.4978952
Crooked Creek,030501010103,Headwaters Catawba River,0305010101,Upper Catawba,03050101,Catawba,030501,030501010105,35.396228921553352,22653.586506855284824,,2986,3056,65447.084407074136834,138905451.572022736072540,91675811.974918633699417,1.8362219
Buck Creek,030501010104,Headwaters Catawba River,0305010101,Upper Catawba,03050101,Catawba,030501,030501010105,25.680704309176591,16435.650755740814930,,1259,1116,54075.474522939824965,101171513.251769930124283,66512718.829142518341541,0.1989128
Mackey Creek-Catawba River,030501010105,Headwaters Catawba River,0305010101,Upper Catawba,03050101,Catawba,030501,030501010106,38.503066523789805,24641.962572028663999,,3799,3607,72968.601082888533711,151419963.232058703899384,99722484.562026590108871,0.0000000
Toms Creek-Catawba River,030501010106,Headwaters Catawba River,0305010101,Upper Catawba,03050101,Catawba,030501,030501010303,27.089461972067156,17337.255659873811965,,4535,4317,76055.561560431888211,106655052.820088788866997,70161384.440968617796898,0.2203591
Armstrong Creek,030501010201,North Fork Catawba River,0305010102,Upper Catawba,03050101,Catawba,030501,030501010202,28.598738686799969,18303.192757177501335,,1207,1005,53749.396236085020064,112865986.984937548637390,74070393.115562856197357,8.7699776
North Fork Catawba River,030501010202,North Fork Catawba River,0305010102,Upper Catawba,03050101,Catawba,030501,030501010303,56.326415173914391,36048.905706628574990,,2424,2683,108862.390873121796176,222509001.829322546720505,145884745.414569586515427,2.6090972
Upper Linville River,030501010301,Linville River-Lake James,0305010103,Upper Catawba,03050101,Catawba,030501,030501010302,44.559604013778007,28518.146565118255239,,2596,2598,83651.568673247718834,176865458.826840907335281,115408844.495675355195999,5.9706702
Lower Linville River,030501010302,Linville River-Lake James,0305010103,Upper Catawba,03050101,Catawba,030501,030501010303,23.248049874662289,14878.751917853638588,,864,494,65035.157460137714224,91880552.783858045935631,60212172.809090062975883,74.4376297
Lake James-Catawba River,030501010303,Linville River-Lake James,0305010103,Upper Catawba,03050101,Catawba,030501,030501010607,52.794730927600312,33788.627789280784782,,4810,4340,108113.790291902565514,208122215.657270371913910,136737725.369939446449280,15.5204611
Upper Creek,030501010401,Warrior Fork-Catawba River,0305010104,Upper Catawba,03050101,Catawba,030501,030501010403,37.159077535010368,23781.809619321411446,,1383,790,63433.989635175625153,147080489.597694575786591,96241568.985560283064842,1.5595664
Irish Creek,030501010402,Warrior Fork-Catawba River,0305010104,Upper Catawba,03050101,Catawba,030501,030501010403,34.480010091795819,22067.206455886534968,,1569,2072,61195.114382898136682,136192875.966814607381821,89302816.085156291723251,2.7127645
Warrior Fork,030501010403,Warrior Fork-Catawba River,0305010104,Upper Catawba,03050101,Catawba,030501,030501010608,15.702599558156829,10049.663715916623914,,2705,2819,53944.196719959538314,61969917.978431686758995,40669546.228211775422096,0.5575807
Upper Johns River,030501010501,Johns River,0305010105,Upper Catawba,03050101,Catawba,030501,030501010505,41.869431552276538,26796.436189980671770,,1694,1688,69280.190510804415680,166364754.511571764945984,108441329.964399546384811,4.2053733
Upper Wilson Creek,030501010502,Johns River,0305010105,Upper Catawba,03050101,Catawba,030501,030501010504,40.272780469760228,25774.579497302798700,,1520,1779,70473.187905381550081,159853586.728812336921692,104306022.715312540531158,42.5772552
