subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Nahunga Creek,030300070103,Goshen Swamp,0303000701,Northeast Cape Fear,03030007,Cape Fear,030300,030300070104,23.025205102795088,14736.131263877130550,,1775,1313,51443.806822199912858,89161218.625165149569511,59635006.604414165019989,0.0000000
Middle Goshen Swamp,030300070104,Goshen Swamp,0303000701,Northeast Cape Fear,03030007,Cape Fear,030300,030300070105,53.866496925065888,34474.558027569772094,,3723,2539,82541.064994793778169,208969555.592767953872681,139513587.035246491432190,0.0000000
Lower Goshen Swamp,030300070105,Goshen Swamp,0303000701,Northeast Cape Fear,03030007,Cape Fear,030300,030300070206,36.365039426209322,23273.625229754670727,,2406,2054,63441.131888973264722,140877514.072111636400223,94185020.014814108610153,0.0000000
Lewis Branch-Northeast Cape Fear River,030300070201,Headwaters Northeast Cape Fear River,0303000702,Northeast Cape Fear,03030007,Cape Fear,030300,030300070203,31.009136657522440,19845.847458239750267,,5017,4379,54142.001779319019988,120534595.924646839499474,80313294.678033590316772,0.0190117
Buck Marsh Branch,030300070202,Headwaters Northeast Cape Fear River,0303000702,Northeast Cape Fear,03030007,Cape Fear,030300,030300070203,21.142783812348892,13531.381638147859121,,2090,1759,49452.094030984721030,82160076.794113755226135,54759558.350954867899418,0.0000000
Polly Run Creek-Northeast Cape Fear River,030300070203,Headwaters Northeast Cape Fear River,0303000702,Northeast Cape Fear,03030007,Cape Fear,030300,030300070204,30.449948250182498,19487.966877588616626,,2667,1921,56843.865549310576171,118241112.263531312346458,78865004.294345721602440,0.0000000
Mathews Creek-Northeast Cape Fear River,030300070204,Headwaters Northeast Cape Fear River,0303000702,Northeast Cape Fear,03030007,Cape Fear,030300,030300070205,36.618461678591714,23435.815471258356411,,2837,2347,59939.372674010839546,142050087.273346453905106,94841376.295553237199783,0.0000000
Burn Coat Creek-Northeast Cape Fear River,030300070205,Headwaters Northeast Cape Fear River,0303000702,Northeast Cape Fear,03030007,Cape Fear,030300,030300070206,23.598861375012014,15103.271278048334352,,1693,1358,49719.206320055855031,91412363.001272797584534,61120774.646772108972073,0.0000000
Dark Branch-Northeast Cape Fear River,030300070206,Headwaters Northeast Cape Fear River,0303000702,Northeast Cape Fear,03030007,Cape Fear,030300,030300070307,19.033697448726834,12181.566365604854582,,1068,811,43135.246764147159411,73641343.128734931349754,49297049.788109704852104,0.0000000
Grove Creek,030300070301,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070307,38.799408318379257,24831.621320541307796,,2392,2244,69084.066487532021711,150017153.353454262018204,100490006.555966794490814,0.0000000
Upper Limestone Creek,030300070302,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070303,32.319301093471452,20684.352697138339863,,2276,2432,55657.889114350153250,124895436.997844755649567,83706603.071599408984184,0.0000000
Lower Limestone Creek,030300070303,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070307,27.094152774544074,17340.257773458648444,,1938,1729,52541.238917334303551,104710132.592511340975761,70173533.562148705124855,0.0000000
Headwaters Maxwell Creek,030300070304,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070305,34.408901760535699,22021.697123885965993,,1951,2036,65822.298651616772986,132765880.137264981865883,89118647.827471628785133,0.0000000
Maxwell Creek-Stocking Head Creek,030300070305,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070307,34.926944082230627,22353.244209727705311,,1993,1170,63519.094682224538701,134744457.786753535270691,90460370.881064444780350,0.0000000
Muddy Creek,030300070306,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070307,47.998621982043176,30719.118064522430359,,3392,3093,66635.936930889336509,185116152.850093901157379,124315863.710696712136269,0.0000000
Persimmon Branch-Northeast Cape Fear River,030300070307,Limestone Creek-Northeast Cape Fear River,0303000703,Northeast Cape Fear,03030007,Cape Fear,030300,030300070405,41.692456323251385,26683.172043419268448,,2518,1877,78762.085507666837657,160961886.306052982807159,107982963.187213331460953,0.0000000
Ninemile Creek,030300070401,Cypress Creek-Northeast Cape Fear River,0303000704,Northeast Cape Fear,03030007,Cape Fear,030300,030300070403,18.018466999392448,11531.818878115140251,,1736,1736,38509.927657395113783,69313021.655345201492310,46667615.529594115912914,0.0000000
Back Swamp,030300070402,Cypress Creek-Northeast Cape Fear River,0303000704,Northeast Cape Fear,03030007,Cape Fear,030300,030300070403,36.502863916006731,23361.832903213566169,,2821,3082,61503.144971071968030,140642462.174237251281738,94541982.574079841375351,0.0000000
Cypress Creek,030300070403,Cypress Creek-Northeast Cape Fear River,0303000704,Northeast Cape Fear,03030007,Cape Fear,030300,030300070405,34.886565905963145,22327.402176919869817,,1276,1087,63497.154203180129116,134252487.513935655355453,90355791.564691185951233,0.0000000
Island Creek,030300070404,Cypress Creek-Northeast Cape Fear River,0303000704,Northeast Cape Fear,03030007,Cape Fear,030300,030300070405,29.850896208625201,19104.573571041684772,,2390,2611,52264.564949040774081,114975228.686737224459648,77313465.786201000213623,0.0000000
Oakie Branch-Northeast Cape Fear River,030300070405,Cypress Creek-Northeast Cape Fear River,0303000704,Northeast Cape Fear,03030007,Cape Fear,030300,030300070611,34.437483186403547,22039.989236439014348,,2505,2736,68992.229366153987939,132516031.839196205139160,89192665.928229033946991,0.0000000
Duff Creek,030300070501,Rockfish Creek,0303000705,Northeast Cape Fear,03030007,Cape Fear,030300,030300070504,20.978045730603846,13425.949265844708862,,1754,1262,46268.205199970005197,80778796.211425960063934,54332888.293391413986683,0.0000000
Upper Doctors Creek,030300070502,Rockfish Creek,0303000705,Northeast Cape Fear,03030007,Cape Fear,030300,030300070503,22.947714257855605,14686.537123122296180,,1050,647,47606.354938935350219,88234619.856403946876526,59434307.765272051095963,0.0000000
Lower Doctors Creek,030300070503,Rockfish Creek,0303000705,Northeast Cape Fear,03030007,Cape Fear,030300,030300070506,32.595722555769200,20861.262432985949999,,1593,1086,61330.547592072522093,125237062.895165413618088,84422533.582565933465958,0.0000000
Upper Rockfish Creek,030300070504,Rockfish Creek,0303000705,Northeast Cape Fear,03030007,Cape Fear,030300,030300070506,48.409063842048084,30981.800854891494964,,3325,2262,94837.854757203851477,186431263.388120949268341,125378900.152430787682533,0.0000000
Sills Creek,030300070505,Rockfish Creek,0303000705,Northeast Cape Fear,03030007,Cape Fear,030300,030300070506,22.436407238381811,14359.300630701520276,,995,903,48735.555616012592509,86115616.806752189993858,58110027.373783864080906,0.0000000
Lower Rockfish Creek,030300070506,Rockfish Creek,0303000705,Northeast Cape Fear,03030007,Cape Fear,030300,030300070611,30.768362194012532,19691.751801613401767,,4922,4424,71442.788336494282703,118266623.110599488019943,79689691.895007982850075,0.0187520
Angola Swamp,030300070601,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070611,49.063154429582696,31400.418830859336595,,901,753,60004.960328427470813,188473422.499861657619476,127072981.999598026275635,18.4722176
Headwaters Sandy Run Swamp,030300070602,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070604,26.632410978389242,17044.743023957893456,,2549,3050,50916.768300731237105,102202412.114199236035347,68977635.365451008081436,9.9032917
Shelter Swamp Creek,030300070603,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070604,49.697401365527369,31806.336869811268116,,4169,5211,79059.987857501066173,190510732.091509521007538,128715679.301918059587479,3.2518556
Upper Holly Shelter Creek,030300070604,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070609,27.580813563760358,17651.720678516663611,,1273,1290,58665.181919428694528,105880456.465482488274574,71433969.113377556204796,2.7023757
Angola Creek,030300070605,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070609,26.309348018144892,16837.982729428331368,,411,341,54281.364599120512139,101039813.457432031631470,68140891.044111222028732,15.7075214
Upper Shaken Creek,030300070606,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070607,31.275710052960058,20016.454431297694100,,1666,3383,54362.629386941196572,119681449.312322124838829,81003720.750076323747635,5.1679163
Middle Shaken Creek,030300070607,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070608,35.880606639484014,22963.588246290692041,,354,285,56156.943353113740159,137209800.888232171535492,92930282.393686577677727,23.1937847
Lower Shaken Creek,030300070608,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070609,17.547144824443649,11230.172686187039290,,167,136,39332.230267503357027,67213949.904908925294876,45446881.226128675043583,73.0906754
Lower Holly Shelter Creek,030300070609,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070611,25.704754069182119,16451.042602142355463,,244,200,54224.221506040863460,98550607.224628344178200,66575038.788838654756546,43.6803360
Ashes Creek,030300070610,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070611,33.140001291733512,21209.600823957916873,,315,258,67378.888603887928184,126768558.676366165280342,85832268.056990280747414,33.2910385
Lewis Creek-Northeast Cape Fear River,030300070611,Angola Swamp-Northeast Cape Fear River,0303000706,Northeast Cape Fear,03030007,Cape Fear,030300,030300070802,54.490543084431152,34873.947569511721667,,2172,1965,92474.340572101616999,208945570.110204339027405,141129830.415632933378220,17.7721100
Bee Branch-Cypress Creek,030300070701,Long Creek,0303000707,Northeast Cape Fear,03030007,Cape Fear,030300,030300070704,21.789895201476089,13945.532927135536738,,1388,1322,51479.101950748183299,83473796.877193361520767,56435571.179453626275063,0.0000000
Upper Long Creek,030300070702,Long Creek,0303000707,Northeast Cape Fear,03030007,Cape Fear,030300,030300070704,35.396291186503113,22653.626356423126708,,2944,2822,67928.752786960263620,135555724.115200787782669,91675979.423410922288895,0.0000000
Rileys Creek,030300070703,Long Creek,0303000707,Northeast Cape Fear,03030007,Cape Fear,030300,030300070705,32.996499265663502,21117.759527285026707,,2749,2651,59914.693054598275921,126036148.455945014953613,85460542.258492931723595,0.0000000
Middle Long Creek,030300070704,Long Creek,0303000707,Northeast Cape Fear,03030007,Cape Fear,030300,030300070705,28.899593012943566,18495.739525884422619,,1461,1359,55733.453470670945535,110429118.625951275229454,74849602.355727508664131,0.0000000
Lower Long Creek,030300070705,Long Creek,0303000707,Northeast Cape Fear,03030007,Cape Fear,030300,030300070809,21.420084723372447,13708.854221179912201,,1661,1845,47566.130320177879184,81696077.384178772568703,55477764.284782007336617,0.6286694
Burgaw Creek,030300070801,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070802,30.719874171301932,19660.719467082642950,,2721,2528,55075.075485835797735,117613662.466446787118912,79564106.657089754939079,1.1021392
Pike Creek-Northeast Cape Fear River,030300070802,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070805,54.587974798390412,34936.303866437563556,,3009,3113,74020.850584243584308,208647025.926567345857620,141382226.387681037187576,2.7884243
Trumpeter Swamp,030300070803,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070804,20.014150846829242,12809.056540308989497,,819,1132,49844.580388225091156,76375133.586122691631317,51836415.004209391772747,11.6214504
Harrisons Creek,030300070804,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070805,36.614425600780855,23433.232381459743920,,1800,2539,83990.040082101913868,139693244.328986704349518,94830928.331534445285797,7.5976505
Island Creek-Northeast Cape Fear River,030300070805,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070807,38.171678087910799,24429.873973093614040,,6545,7064,68776.588186898792628,145479775.523960798978806,98864191.096282541751862,2.6777201
Turkey Creek,030300070806,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070807,14.555503600555898,9315.522303147268758,,1673,1859,38800.605096955034242,55520141.333146579563618,37698581.515989616513252,7.9601698
Prince George Creek-Northeast Cape Fear River,030300070807,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070809,31.991245390722892,20474.397047406499041,,8081,9813,57269.525458426222031,121856906.136718705296516,82856945.578499630093575,9.1054316
Smith Creek,030300070808,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300070809,33.021105099307668,21133.507260815247719,,50786,55761,58554.897375964435923,125535267.973365262150764,85524270.819829776883125,0.0000000
Ness Creek-Northeast Cape Fear River,030300070809,Harrisons Creek-Northeast Cape Fear River,0303000708,Northeast Cape Fear,03030007,Cape Fear,030300,030300050503,27.680246088758995,17715.357494507534284,,4487,4413,65201.329798516955634,105362576.207324221730232,71691508.333497852087021,2.3368366
Buffalo Creek,030401010101,Headwaters Yadkin River,0304010101,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010102,33.046320021348734,21149.644810919438896,,1133,1088,73300.472970213741064,131358252.665497317910194,85589575.919156774878502,18.5858822
Headwaters Yadkin River,030401010102,Headwaters Yadkin River,0304010101,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010105,42.338725561503935,27096.784355847237748,,1923,1856,87977.219434808444930,168077356.941695749759674,109656795.838823929429054,1.8391174
Kings Creek,030401010103,Headwaters Yadkin River,0304010101,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010105,27.799458398441910,17791.653372694701829,,2237,2170,61908.902076797843620,110257672.704243645071983,72000266.737451568245888,0.0207076
Elk Creek,030401010104,Headwaters Yadkin River,0304010101,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010105,50.533106049378375,32341.187867406522855,,2172,2175,95871.742034246199182,201146769.736676067113876,130880143.885189935564995,1.1065013
Laytown Creek-Yadkin River,030401010105,Headwaters Yadkin River,0304010101,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010206,22.378400534140667,14322.176339992005524,,936,900,55535.054831824898429,88856620.716775655746460,57959791.326533600687981,16.6313210
Beaver Creek,030401010201,W Kerr Scott Reservoir-Yadkin River,0304010102,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010206,20.627159411451803,13201.382021616534985,,1511,1412,50911.968570894307049,81879398.588979452848434,53424097.652134306728840,0.0000000
Stony Fork,030401010202,W Kerr Scott Reservoir-Yadkin River,0304010102,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010206,37.850013122348656,24224.008395160548389,,1377,1388,79813.642046459077392,150704728.847895056009293,98031084.086747005581856,0.0000000
Warrior Creek,030401010203,W Kerr Scott Reservoir-Yadkin River,0304010102,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010206,25.804529839805333,16514.899095332930301,,1820,1688,50376.891446153385914,102477207.497225269675255,66833425.494900017976761,0.0243308
South Prong Lewis Fork,030401010204,W Kerr Scott Reservoir-Yadkin River,0304010102,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010206,36.332247368608279,23252.638312892726390,,1042,916,65578.400438451993978,144801058.342278122901917,94100088.827535942196846,0.0372370
North Prong Lewis Fork,030401010205,W Kerr Scott Reservoir-Yadkin River,0304010102,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010206,35.027041800895987,22417.306749665225652,,2050,1827,70729.831995332977385,139678305.708206862211227,90719621.660928219556808,9.9786339
Naked Creek-W Kerr Scott Reservoir,030401010206,W Kerr Scott Reservoir-Yadkin River,0304010102,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010302,33.187130898571709,21239.763772330450593,,2936,2848,94234.305101655656472,131991375.569618254899979,85954274.369877383112907,0.0000000
Moravian Creek,030401010301,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010302,24.778481328312452,15858.228048062674134,,2707,2548,59213.821870886291435,98435770.800557240843773,64175972.070382446050644,0.0000000
Miller Creek-Yadkin River,030401010302,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010307,17.249302633152432,11039.553683785390604,,4252,4177,46211.126819558987336,68669339.650718420743942,44675488.749479129910469,0.0000000
Middle Fork Reddies River-South Fork Reddies River,030401010303,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010305,29.950126229337322,19168.080784289202711,,910,746,63449.872956903484010,119649552.520016089081764,77570470.859729304909706,1.5191747
North Fork Reddies River,030401010304,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010305,28.557989846459972,18277.113499363284063,,1073,707,59936.893417780011077,114160345.553064480423927,73964854.168714359402657,0.0000000
Reddies River,030401010305,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010307,34.748376832337051,22238.961169810641877,,7728,8215,65678.824262466499931,138547184.425213545560837,89997882.999947696924210,0.0013549
Mulberry Creek,030401010306,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010307,49.252364953532258,31521.513566171342973,,5897,6846,90393.714976274568471,196659590.189937770366669,127563039.509724467992783,0.1228953
Cub Creek-Yadkin River,030401010307,Reddies River-Yadkin River,0304010103,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010402,26.300037227369874,16832.023823333092878,,7198,7219,64262.473261623235885,104611303.860881641507149,68116783.701460957527161,0.0000000
Fishing Creek,030401010401,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010402,18.027103551419653,11537.346271411834095,,1679,1771,45380.259687212441349,71757922.972266510128975,46689983.908633090555668,0.0000000
Rock Creek-Yadkin River,030401010402,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010407,11.875376660145868,7600.241061507373161,,2617,2525,39457.860078260579030,47339216.830319084227085,30757084.360680583864450,0.0000000
West Prong Roaring River,030401010403,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010404,23.047946399618951,14750.685693842515320,,1313,645,55336.529062336951029,92160137.618242546916008,59693907.106106340885162,0.0000000
Middle Prong Roaring River-Roaring River,030401010404,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010406,43.628606539137387,27922.308181425556540,,3352,2302,87722.374593766740873,174550764.344686061143875,112997572.474327996373177,7.7142491
East Prong Roaring River,030401010405,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010406,56.664273001122957,36265.134716013999423,,3366,2796,78484.823689311742783,226743070.331854939460754,146759793.547516793012619,30.4718609
Roaring River,030401010406,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010407,16.271297708234236,10413.630531918945053,,2440,2058,39992.674968765910307,64916950.474322833120823,42142467.570013307034969,0.0000000
Brier Creek-Yadkin River,030401010407,Roaring River-Yadkin River,0304010104,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010602,14.415732765758470,9226.068968888519521,,1106,1161,43608.759473765545408,57418545.768327809870243,37336576.484760358929634,0.0000000
Upper Mitchell River,030401010501,Mitchell River,0304010105,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010504,29.266452186860992,18730.529397161117231,,1577,1248,51429.182342264786712,117394148.911827579140663,75799763.543096110224724,5.1079130
South Fork Mitchell River,030401010502,Mitchell River,0304010105,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010504,25.161399811099052,16103.295877014306825,,1488,1458,52978.310286716339760,100724652.451927706599236,65167726.239036716520786,2.1826921
Snow Creek,030401010503,Mitchell River,0304010105,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010504,18.369346498731566,11756.381757663040844,,1768,1646,43677.722034448524937,73478455.592391431331635,47576389.007011778652668,0.0000000
Lower Mitchell River,030401010504,Mitchell River,0304010105,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010607,35.376606945114588,22641.028441936108720,,2774,2675,96807.795100452363840,141570918.385038763284683,91624991.355897754430771,6.1350250
Big Bugaboo Creek,030401010601,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010602,17.918315229812080,11467.721745592019943,,1939,1458,41828.533727409376297,71538939.642826586961746,46408223.543360106647015,0.0000000
Grays Creek-Yadkin River,030401010602,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010605,17.524736124037954,11215.831117929255925,,1352,1261,48438.674507147297845,69836741.255318045616150,45388858.172620832920074,0.0000000
Little Elkin Creek,030401010603,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010605,12.838973490530362,8216.943032873443371,,1448,1346,40278.340072800536291,51267197.821273662149906,33252788.597700204700232,0.0000000
Elkin Creek,030401010604,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010605,36.324505658877783,23247.683618665847462,,5338,5851,67129.260834768036148,145218111.482628345489502,94080038.104762569069862,0.6500084
Swan Creek-Yadkin River,030401010605,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010606,21.924428433366568,14031.634195534274113,,2042,2226,49820.562859559788194,87385843.153966844081879,56784008.991240642964840,0.0000000
Sandyberry Creek-Yadkin River,030401010606,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010607,15.361885770408962,9831.606891786277629,,3339,3270,38529.161198128502292,61271150.214230954647064,39787101.499834567308426,0.0000000
Williams Creek-Yadkin River,030401010607,Elkin Creek-Yadkin River,0304010106,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011001,14.035923202755463,8982.990848598128650,,1779,1738,35569.355937617459858,56005473.603303700685501,36352874.099263437092304,0.0000000
Headwaters Fisher River,030401010701,Fisher River,0304010107,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010702,33.085203077444838,21174.529966817714012,,1828,1536,53238.351761948433705,132928314.667982265353203,85690283.438651338219643,14.8693743
Upper Fisher River,030401010702,Fisher River,0304010107,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010704,27.050477655560847,17312.305697313011478,,2588,2728,54640.689371651620604,108445837.620676234364510,70060415.427156969904900,0.8231480
Little Fisher River,030401010703,Fisher River,0304010107,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010704,36.510331856186461,23366.612384927975654,,3190,3398,63306.016789331253676,146606821.077216684818268,94561325.796374872326851,2.5892181
Middle Fisher River,030401010704,Fisher River,0304010107,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010705,26.443156227134942,16923.619983170854539,,3497,3331,57235.769421020166192,105950696.309921592473984,68487460.079255744814873,0.0000000
Lower Fisher River,030401010705,Fisher River,0304010107,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011001,37.946921825439730,24286.029965130790515,,4207,3930,69331.716570089614834,151767725.689666390419006,98282076.337877243757248,0.0000000
Headwaters Ararat River,030401010801,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010807,4.673509865409225,2991.046313473874307,,1162,1068,22384.711585426095553,18791287.944822609424591,12104338.060509577393532,0.0000000
Johnson Creek,030401010802,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010807,1.428179070806868,914.034605197817541,,466,479,11645.224524796192782,5742865.649809476919472,3698967.005456455517560,0.0000000
Lovills Creek,030401010803,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010807,10.849611276104648,6943.751215806159053,,6594,6624,33920.734742558292055,43597879.516618624329567,28100364.161834035068750,0.0000000
Headwaters Stewarts Creek,030401010804,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010806,19.081063876663237,12211.880879480218937,,2666,2461,45773.031891986662231,76688002.570089444518089,49419730.317306272685528,0.0000000
Pauls Creek,030401010805,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010806,7.241076516915593,4634.288970224771219,,2524,2453,27414.908187160333910,29108801.101703103631735,18754304.423077881336212,0.0000000
Outlet Stewarts Creek,030401010806,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010807,15.795993303238337,10109.435712761034665,,4071,4149,39710.654138411613530,63396548.723460614681244,40911434.851701647043228,0.0000000
Faukner Creek-Ararat River,030401010807,Upper Ararat River,0304010108,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010901,16.505069208494934,10563.244292066383423,,7324,6969,45539.578692834642425,66301556.802714385092258,42747933.113059855997562,0.0000000
Flat Shoal Creek-Ararat River,030401010901,Lower Ararat River,0304010109,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010903,39.228859325839743,25106.469965280361066,,6440,6276,74414.477215140141197,157337772.680030256509781,101602279.395410567522049,0.0000000
Toms Creek,030401010902,Lower Ararat River,0304010109,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010903,38.441511586699527,24602.567412295997201,,4789,4844,66018.385622892717947,154111804.959125488996506,99563058.088545978069305,0.0000000
Bull Creek-Ararat River,030401010903,Lower Ararat River,0304010109,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401010904,17.670940100784950,11309.401663035196179,,1895,1876,47965.711071487035952,70751252.981035083532333,45767524.643403038382530,0.0000000
Outlet Ararat River,030401010904,Lower Ararat River,0304010109,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011002,27.273190064589343,17454.841639072754333,,2779,2711,54033.584229288630013,109076144.360904961824417,70637237.922910392284393,6.9201937
Double Creek-Yadkin River,030401011001,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011002,42.433496608203988,27157.437825727407471,,3699,3558,83632.337516785235493,169408681.279538094997406,109902251.838184535503387,0.0605910
Hogan Creek-Yadkin River,030401011002,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011006,23.141107863703297,14810.309030848762632,,1745,1671,50717.299256988284469,92441746.655630201101303,59935194.025405801832676,0.0000000
West Prong Little Yadkin River,030401011003,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011005,17.172835270481151,10990.614571682119276,,1969,1930,40550.266060779518739,68733121.225010007619858,44477439.113604232668877,0.0000000
East Prong Little Yadkin River,030401011004,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011005,14.622509750585220,9358.406239160471159,,1833,1699,39081.837245123679168,58502948.909295551478863,37872126.428412772715092,0.3156058
Little Yadkin River,030401011005,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011006,29.485115868085678,18870.474153126760939,,11950,11154,51986.925871616971563,117774734.921205893158913,76366099.567608639597893,0.2046279
