,ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID,FREQUENCY,COUNT_ProjectID
407,92701,South Fork Big Pine Creek(Charles/McGinnis),Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105100040,Madison,Northern Mountains,1.09704686,47787.3612476,2359.50014926,1.0,408,,
408,347,South Fork Hopper,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101040020,McDowell,Northern Mountains,33.45450896,1457278.41024,12166.2113026,1.0,409,,
412,354,Spring Valley Park,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020050,Guilford,Central Piedmont,3.39379942,147833.902881,3466.14939173,1.0,413,,
417,360,Starmount Forest CC,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020040,Guilford,Central Piedmont,7.79750449,339659.295614,14788.1314067,1.0,418,,
418,92145,Stevens Tract-Eno River,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201030050,Durham,Central Piedmont,70.54970703,3073318.95248,8056.89219611,1.0,419,,
420,364,Stone Mountain,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101060030,Wilkes,Northern Mountains,49.94382789,2175553.14304,17084.8741002,1.0,421,,
421,365,Stonebridge,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030003,03030003060020,Moore,Southern Piedmont,16.25338737,707997.553773,9614.92983648,1.0,422,,
427,370,Suther,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105020050,Cabarrus,Southern Piedmont,67.47071004,2939024.12915,22744.3149282,1.0,428,,
447,134,Terrible Creek Buffer (Fish Property) (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201120010,Wake,Central Piedmont,48.46194689,2111002.40645,13623.028145,1.0,448,,
448,94801,PRMUSACE - The Cliffs at Walnut Cove,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105010010,Buncombe,Southern Mountains,19.42950643,846349.300176,26161.1566101,1.0,449,,
452,379,Tick Creek (Condoret Tract),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003070020,Chatham,Central Piedmont,29.36420339,1279069.92138,10860.988528,1.0,453,,
472,92719,UT to Bear Creek (Phillips),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003070050,Chatham,Central Piedmont,11.90751285,518691.25972,8578.890429979998,1.0,473,,
482,92345,UT to Jumping Run Creek,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030004,03030004090010,Cumberland,Southern Inner Coastal Plain,225.30521199,9814297.61685,27411.0045557,1.0,483,,
483,92705,Ut to Laxon Creek (Carp site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001020020,Watauga,Northern Mountains,0.67449754,29381.113029,994.940161156,1.0,484,,
484,290,UT to Lilliput Creek (Hog Branch Ponds),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030005,03030005070010,Brunswick,Southern Outer Coastal Plain,516.74381111,22509467.6238,30241.7229906,1.0,485,,
485,314,UT to Little Coharie Creek (Roseboro Site),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030006,03030006080030,Sampson,Southern Inner Coastal Plain,5.28028133,230034.727146,5159.47798335,1.0,486,,
490,92704,Ut to Peak Creek (Bare site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001010010,Ashe,Northern Mountains,3.0241517,131732.048135,4450.84091092,1.0,491,,
491,402,UT to Rocky River (Smith Tract),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003070020,Chatham,Central Piedmont,9.09386932,396128.947401,5258.29976644,1.0,492,,
492,403,UT to Sandy Creek (Williams Tract),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020010,Randolph,Central Piedmont,9.96127353,433913.074811,5807.18465125,1.0,493,,
501,407,Valleyfields Farm,Design-Bid-Build,Active,Active,Yadkin,03040103,03040103030030,Davidson,Central Piedmont,96.99584372,4225138.95246,37018.8199079,1.0,502,,
